,위도,경도
0,37.584009,126.970626
1,37.575408,126.965944
2,37.590758,126.980996
3,37.594768,126.965574
4,37.613029,126.974485
5,37.57711,126.958562
6,37.568547,126.964454
7,37.582682,126.984831
8,37.570962,126.977881
9,37.573681,127.009292
10,37.577245,127.005622
11,37.587817,127.001745
12,37.573172,126.97922
13,37.573172,126.97922
14,37.573172,126.97922
15,37.573172,126.97922
16,37.573172,126.97922
17,37.564079,126.980046
18,37.557288,126.979369
19,37.560029,126.985806
20,37.560148,126.995572
21,37.561919,127.007818
22,37.564445,127.005023
23,37.56669,126.991319
24,37.557913,127.013655
25,37.554398,127.008155
26,37.552459,127.008973
27,37.557074,127.014616
28,37.56376,126.997459
29,37.560042,127.019399
30,37.568542,127.020827
31,37.558842,126.96632
32,37.549901,126.980613
33,37.542884,126.985008
34,37.542865,126.973353
35,37.545502,126.969899
36,37.532612,126.990182
37,37.532612,126.990182
38,37.542828,126.960951
39,37.537663,126.959677
40,37.529054,126.969503
41,37.532612,126.990182
42,37.532612,126.990182
43,37.532612,126.990182
44,37.532612,126.990182
45,37.537541,127.005165
46,37.518619,126.991299
47,37.526873,127.000917
48,37.563386,127.037047
49,37.56598,127.031444
50,37.567363,127.040731
51,37.558904,127.047597
52,37.563386,127.037047
53,37.563386,127.037047
54,37.550935,127.033903
55,37.553509,127.023661
56,37.549549,127.019842
57,37.545404,127.024129
58,37.540788,127.020624
59,37.543511,127.042746
60,37.543511,127.042746
61,37.540855,127.056517
62,37.540855,127.056517
63,37.553181,127.062066
64,37.56147,127.056348
65,37.54325,127.073393
66,37.553038,127.073657
67,37.53821,127.082191
68,37.53821,127.082191
69,37.53821,127.082191
70,37.53821,127.082191
71,37.550578,127.081722
72,37.547835,127.104695
73,37.53821,127.082191
74,37.53821,127.082191
75,37.53821,127.082191
76,37.53821,127.082191
77,37.53821,127.082191
78,37.53821,127.082191
79,37.53821,127.082191
80,37.575868,127.037305
81,37.583778,127.037226
82,37.574428,127.039712
